seed,focal,startIndex,q,T,kalmanSquaredError,holdSquaredError,variance,covered,intervalCoversCircle,periodicJump,historyNIS
138,3,6001,0.0001,3,2.63291098318947e-05,1.12354442949949e-05,0.00201027975025284,1,0,0,0.974196532183449
138,3,6001,0.0001,10.2,0.000423296101601423,0.000265708384483763,0.0457343308175817,1,0,0,0.974196532183449
138,3,6001,0.0001,30,0.00504067002136091,0.00358377606868282,0.984502341602683,1,0,0,0.974196532183449
138,3,6001,0.0001,60,0.0100691170995898,0.00621241656944695,7.53294378013383,1,1,0,0.974196532183449
138,3,6001,0.0001,120,0.00457800174812472,0.0120941032019285,58.9217748425493,1,1,0,0.974196532183449
138,3,6801,1e-08,3,0.000139972920389528,0.00429163889511278,9.78388820305474e-06,0,0,0,2.14094839344293
138,3,6801,1e-08,10.2,0.000831303772374956,0.0466022049426843,3.0701926526387e-05,0,0,0,2.14094839344293
138,3,6801,1e-08,30,0.0205377943029384,0.485952445230405,0.00022036857811208,0,0,0,2.14094839344293
138,3,6801,1e-08,60,0.330344447208391,2.83663088022444,0.001160888145643,0,0,0,2.14094839344293
138,3,6801,1e-08,120,0.875592002124698,9.77573948351831,0.00737909542410409,0,0,0,2.14094839344293
138,3,6801,1e-06,3,4.26140288627858e-05,0.00429163889511278,8.40741847535785e-05,1,0,0,0.844558572288862
138,3,6801,1e-06,10.2,0.000510447059436378,0.0466022049426843,0.000801581202199402,1,0,0,0.844558572288862
138,3,6801,1e-06,30,0.0180892670561726,0.485952445230405,0.0121645920110148,1,0,0,0.844558572288862
138,3,6801,1e-06,60,0.315890544442052,2.83663088022444,0.0840083161455725,1,0,0,0.844558572288862
138,3,6801,1e-06,120,0.837617696282446,9.77573948351831,0.622782900887812,1,0,0,0.844558572288862
138,3,6801,0.0001,3,0.000267443072179092,0.00429163889511278,0.00201027975025284,1,0,0,0.727515637416057
138,3,6801,0.0001,10.2,0.00250876730470295,0.0466022049426843,0.0457343308175817,1,0,0,0.727515637416057
138,3,6801,0.0001,30,0.0443439369310005,0.485952445230405,0.984502341602683,1,0,0,0.727515637416057
138,3,6801,0.0001,60,0.506580894220075,2.83663088022444,7.53294378013383,1,1,0,0.727515637416057
138,3,6801,0.0001,120,1.46932682493257,9.77573948351831,58.9217748425493,1,1,0,0.727515637416057
138,3,7601,1e-08,3,0.00013265683544883,0.000248056681369795,9.78388820305474e-06,0,0,0,1.3048441581753
138,3,7601,1e-08,10.2,0.000413871325850405,0.00355639299806778,3.0701926526387e-05,0,0,0,1.3048441581753
138,3,7601,1e-08,30,0.00226868136481127,0.0336121131475999,0.00022036857811208,0,0,0,1.3048441581753
138,3,7601,1e-08,60,0.0269778512909412,0.0138150451493744,0.001160888145643,0,0,0,1.3048441581753
138,3,7601,1e-08,120,2.14635632850886,0.794050777359863,0.00737909542410409,0,0,0,1.3048441581753
138,3,7601,1e-06,3,3.2640534208521e-05,0.000248056681369795,8.40741847535785e-05,1,0,0,0.90077488400041
138,3,7601,1e-06,10.2,0.000157297092775072,0.00355639299806778,0.000801581202199402,1,0,0,0.90077488400041
138,3,7601,1e-06,30,0.00117892377039417,0.0336121131475999,0.0121645920110148,1,0,0,0.90077488400041
138,3,7601,1e-06,60,0.0345467683985534,0.0138150451493744,0.0840083161455725,1,0,0,0.90077488400041
138,3,7601,1e-06,120,2.25993838574065,0.794050777359863,0.622782900887812,1,0,0,0.90077488400041
138,3,7601,0.0001,3,4.40593684564773e-05,0.000248056681369795,0.00201027975025284,1,0,0,0.793404441210231
138,3,7601,0.0001,10.2,9.77082932027664e-05,0.00355639299806778,0.0457343308175817,1,0,0,0.793404441210231
138,3,7601,0.0001,30,0.000476505446928575,0.0336121131475999,0.984502341602683,1,0,0,0.793404441210231
138,3,7601,0.0001,60,0.0454957743876091,0.0138150451493744,7.53294378013383,1,1,0,0.793404441210231
138,3,7601,0.0001,120,2.43542729243598,0.794050777359863,58.9217748425493,1,1,0,0.793404441210231
138,4,6001,1e-08,3,4.84189633328064e-06,0.00011928451564841,9.78388820305474e-06,1,0,0,1.26104015252193
138,4,6001,1e-08,10.2,2.25886249862579e-05,2.8575795347969e-05,3.0701926526387e-05,1,0,0,1.26104015252193
138,4,6001,1e-08,30,0.00011567025327529,8.04978661386716e-05,0.00022036857811208,1,0,0,1.26104015252193
138,4,6001,1e-08,60,0.0041203575304088,0.00562593011695393,0.001160888145643,1,0,0,1.26104015252193
138,4,6001,1e-08,120,0.113878024715623,0.139481820992619,0.00737909542410409,0,0,0,1.26104015252193
