hiddenCount,T,mode,metric,n,mean,ci95Low,ci95High
7.0,18.0,none,eventPairDistanceIncrease,30,0.0003014198510436132,0.00021938712557415053,0.000391408325271252
7.0,18.0,none,eventPairDistanceDeviation,30,0.0003058176031717598,0.0002249101442127422,0.0003941979203373567
7.0,18.0,none,postPairDistanceIncrease,30,0.0017621759003781097,0.0012302411438946054,0.002362923241442874
7.0,18.0,none,postPairDistanceDeviation,30,0.0018683933616722406,0.00139033252961842,0.0024364419775783543
7.0,18.0,none,meanPredictionError,30,nan,nan,nan
7.0,18.0,none,p90PredictionError,30,nan,nan,nan
7.0,18.0,none,recoveryTime,30,1.82,1.2,3.06
7.0,30.0,hold,eventGOLoss,30,0.003197131801669396,0.000902851482332352,0.005359103452118376
7.0,30.0,hold,eventGODeviation,30,0.005954115582105407,0.004577381435098952,0.007371667518997486
7.0,30.0,hold,postGOLoss,30,0.0027541694429600782,-0.002405573313166121,0.00850363495595497
7.0,30.0,hold,postGODeviation,30,0.011954815268890511,0.008348310108980692,0.016271402313942442
7.0,30.0,hold,eventPairDistanceIncrease,30,0.00019622104703979651,0.00014014038737443748,0.0002579059655531839
7.0,30.0,hold,eventPairDistanceDeviation,30,0.00019835107296798103,0.00014387019545987904,0.00025990474509035767
7.0,30.0,hold,postPairDistanceIncrease,30,0.0013155607588697309,0.0009465472201187606,0.0017287360896222203
7.0,30.0,hold,postPairDistanceDeviation,30,0.0013298199264451052,0.0009718392266245176,0.001735496225514628
7.0,30.0,hold,meanPredictionError,30,0.16972348621401145,0.1466053173963365,0.1938147634268115
7.0,30.0,hold,p90PredictionError,30,0.3704917290682536,0.2971163328887862,0.4534676401125049
7.0,30.0,hold,recoveryTime,30,1.2,1.2,1.2
7.0,30.0,kalman,eventGOLoss,30,0.00025757127339020637,-0.0026332789654253874,0.0032204263188353134
7.0,30.0,kalman,eventGODeviation,30,0.006935786513342443,0.00540336303815751,0.008629211544178558
7.0,30.0,kalman,postGOLoss,30,0.00023875065082879616,-0.007816555074865904,0.00773547510612391
7.0,30.0,kalman,postGODeviation,30,0.017470668346159908,0.01281407144294696,0.02293544883040451
7.0,30.0,kalman,eventPairDistanceIncrease,30,-2.08128679124576e-05,-6.042778858340826e-05,2.1985349114041123e-05
7.0,30.0,kalman,eventPairDistanceDeviation,30,9.931384020451015e-05,7.536331812866469e-05,0.00012287150292723432
