hiddenCount,T,mode,metric,n,mean,ci95
7,18,kalman-gm,postGOLoss,30,0.00188156726759944,0.00237555916788688
7,18,kalman-gm,postGODeviation,30,0.00517346575062283,0.00168423581408545
7,18,kalman-gm,eventPairDistanceIncrease,30,2.41534891296326e-05,1.38759135973127e-05
7,18,kalman-gm,eventPairDistanceDeviation,30,3.03643351924982e-05,1.2258389513894e-05
7,18,kalman-gm,postPairDistanceIncrease,30,0.000288687592406807,0.000123987123814757
7,18,kalman-gm,postPairDistanceDeviation,30,0.00030534787895567,0.000118729804565705
7,18,kalman-gm,meanPredictionError,30,0.0860777687125545,0.0131357542753893
7,18,kalman-gm,p90PredictionError,30,0.125064627859534,0.0263351966130113
7,18,kalman-gm,recoveryTime,30,1.2,0
7,30,none,eventGOLoss,30,0.00140850837926511,0.00796992948430639
7,30,none,eventGODeviation,30,0.0184280678674073,0.00452081359577035
7,30,none,postGOLoss,30,-0.00350837694844098,0.0151658627891699
7,30,none,postGODeviation,30,0.0353672373080092,0.00868445965994796
7,30,none,eventPairDistanceIncrease,30,0.000839587476862805,0.000227257672531209
7,30,none,eventPairDistanceDeviation,30,0.00084490854707082,0.000224846638941568
7,30,none,postPairDistanceIncrease,30,0.00395928886712707,0.00112321319523174
7,30,none,postPairDistanceDeviation,30,0.00401985614232546,0.00109479008124289
7,30,none,recoveryTime,26,3.15,1.52923484939867
7,30,hold,eventGOLoss,30,0.0031971318016694,0.00224512884385692
7,30,hold,eventGODeviation,30,0.00595411558210541,0.00144190817966703
7,30,hold,postGOLoss,30,0.00275416944296008,0.0055414381148192
7,30,hold,postGODeviation,30,0.0119548152688905,0.00403126854937762
7,30,hold,eventPairDistanceIncrease,30,0.000196221047039797,6.2218614706045e-05
7,30,hold,eventPairDistanceDeviation,30,0.000198351072967981,6.15718049286454e-05
7,30,hold,postPairDistanceIncrease,30,0.00131556075886973,0.000401621567485347
7,30,hold,postPairDistanceDeviation,30,0.00132981992644511,0.000395414286886316
7,30,hold,meanPredictionError,30,0.169723486214011,0.0240231803714695
7,30,hold,p90PredictionError,30,0.370491729068254,0.0793316435004347
7,30,hold,recoveryTime,30,1.2,0
7,30,mean,eventGOLoss,30,0.00105213435661034,0.00221315222115052
7,30,mean,eventGODeviation,30,0.00535827455423152,0.00120416926779681
7,30,mean,postGOLoss,30,0.000737649974179924,0.00621584852002913
7,30,mean,postGODeviation,30,0.0118651711632034,0.0045251544982467
7,30,mean,eventPairDistanceIncrease,30,3.55461502177794e-05,4.25923313143911e-05
7,30,mean,eventPairDistanceDeviation,30,8.07893670634968e-05,3.38628501510502e-05
7,30,mean,postPairDistanceIncrease,30,7.68412848033192e-05,0.000270874631736685
7,30,mean,postPairDistanceDeviation,30,0.00057614649031511,0.000174794635549458
