hiddenCount,T,mode,metric,nSeeds,meanDifference,differenceCi95Low,differenceCi95High,meanRelativeReduction,relativeCi95Low,relativeCi95High
7,30.0,hold,eventGODeviation,30,-0.012473952285301933,-0.017074832573398067,-0.008159193021402463,0.6768996280594285,0.5489129142158757,0.7661930485076688
7,30.0,hold,postPairDistanceDeviation,30,-0.002690036215880352,-0.0035989998550060493,-0.001842395073102951,0.6691871849732877,0.5766214556423025,0.7401440880925229
7,30.0,hold,eventGOLoss,30,0.0017886234224042893,-0.006166595253967,0.009851780568084485,-1.2698706296213234,-22.912695181272017,0.7499620362267447
7,30.0,hold,postPairDistanceIncrease,30,-0.0026437281082573416,-0.003577418141535717,-0.0018100188965452248,0.6677280180811045,0.5731119842951321,0.7413780063975841
7,30.0,hold,meanPredictionError_vs_hold,30,0.0,0.0,0.0,0.0,0.0,0.0
7,30.0,mean,eventGODeviation,30,-0.013069793313175818,-0.017879571116562736,-0.008771018194998136,0.7092329704456759,0.5926874033133388,0.7918955975211226
7,30.0,mean,postPairDistanceDeviation,30,-0.0034437096520103473,-0.004569314333282325,-0.002441046910156688,0.8566748485726126,0.78967637306725,0.9036888442340072
7,30.0,mean,eventGOLoss,30,-0.0003563740226547679,-0.008895970702464666,0.007628276900955111,0.2530151952952576,-9.686926912399016,1.4157807307424422
7,30.0,mean,postPairDistanceIncrease,30,-0.0038824475823237537,-0.005016927615719018,-0.002869772917419761,0.980592149908204,0.9132396408286844,1.0563466825098344
7,30.0,kalman,eventGODeviation,30,-0.011492281354064897,-0.016644037991367377,-0.006755071070596111,0.6236292071829533,0.46130546113529347,0.7364957983328676
7,30.0,kalman,postPairDistanceDeviation,30,-0.0033426509928453376,-0.0044892915523148695,-0.002268747592183808,0.8315349789884866,0.7217457772003906,0.900010871100392
7,30.0,kalman,eventGOLoss,30,-0.0011509371058748997,-0.009030396756270579,0.006481187182512502,0.8171318842103055,-5.5181151359852505,4.049490564105185
7,30.0,kalman,postPairDistanceIncrease,30,-0.0042065964855333565,-0.005428536904378786,-0.0031149718846537684,1.0624626357676537,0.9814047451297471,1.1810052702668392
7,30.0,kalman,meanPredictionError_vs_hold,30,-0.012888563859477054,-0.02675724997771696,0.00023251113292558587,0.0759385995832382,-0.002361123375034539,0.1437030493032606
7,30.0,kalman-gm,eventGODeviation,30,-0.013007140285377873,-0.017889018319052413,-0.008514299465773983,0.7058331008419418,0.581450286769592,0.7909255809697993
7,30.0,kalman-gm,postPairDistanceDeviation,30,-0.003062931652664157,-0.004063246126769041,-0.002172950644772764,0.7619505634577943,0.6761137144173693,0.8319880271957489
7,30.0,kalman-gm,eventGOLoss,30,0.0006596782214660738,-0.007301483823853083,0.008337532420526381,-0.4683523585498749,-18.129703651877726,0.9383710012581578
7,30.0,kalman-gm,postPairDistanceIncrease,30,-0.003024916094317819,-0.004123840970080913,-0.0021075737798580243,0.7640048998275667,0.6739326415555567,0.8365948448337633
7,30.0,kalman-gm,meanPredictionError_vs_hold,30,-0.0247867657582614,-0.034008631371727084,-0.0156857792696409,0.1460420494014997,0.09711923993777172,0.18641905644425533
7,60.0,hold,eventGODeviation,30,-0.019444848738464107,-0.02746919549696504,-0.011146029839694855,0.5855243243442525,0.397692173216639,0.7053316669201665
7,60.0,hold,postPairDistanceDeviation,30,-0.005613795646473528,-0.007909619791058016,-0.003435146059435982,0.4843363240019899,0.3574531277199093,0.5870433154266121
7,60.0,hold,eventGOLoss,30,0.009383961651034329,-0.0034575475113764625,0.02282039115334119,-2.4329548601234863,-22.694247029696097,0.45983770833951415
7,60.0,hold,postPairDistanceIncrease,30,-0.005616896468859858,-0.007935800351829505,-0.0034617495240548838,0.4847502452948135,0.3556181941808262,0.5867707193523776
7,60.0,hold,meanPredictionError_vs_hold,30,0.0,0.0,0.0,0.0,0.0,0.0
7,60.0,mean,eventGODeviation,30,-0.018248557119022187,-0.0253157478107514,-0.011008901173386688,0.5495015271698607,0.404138028770286,0.6577132253410954
7,60.0,mean,postPairDistanceDeviation,30,-0.007100588819116866,-0.009435211375617574,-0.005022413489062977,0.6126110217533567,0.5231241831280731,0.6937070278408131
7,60.0,mean,eventGOLoss,30,0.003924087896704515,-0.007994701455638475,0.016390650335434985,-1.0173878661137419,-6.777038421299048,3.1308520529555857
7,60.0,mean,postPairDistanceIncrease,30,-0.007572271477175646,-0.009930107576935089,-0.005542473673296098,0.6535033138584628,0.5638313241321554,0.7468485307845024
7,60.0,kalman,eventGODeviation,30,-0.015417415500335718,-0.022844761149940475,-0.007990787299244207,0.4642500394519251,0.29382046092303316,0.5883085205787834
7,60.0,kalman,postPairDistanceDeviation,30,-0.007038155333124797,-0.009456442547359221,-0.00494256228412401,0.6072245048574266,0.5088451868551139,0.6904682867601619
7,60.0,kalman,eventGOLoss,30,0.0016817337141853937,-0.009349536676692919,0.012838300466063065,-0.436018641754561,-3.110716556656157,6.481134591739269
7,60.0,kalman,postPairDistanceIncrease,30,-0.007867518330998309,-0.010167249060093702,-0.0058364575116699605,0.6789837523188336,0.5888121269340028,0.7980116982404175
7,60.0,kalman,meanPredictionError_vs_hold,30,-0.1719510371971914,-0.20596974857858438,-0.14164991416881625,0.5229877742700246,0.4792655010081457,0.5621621866435974
7,60.0,kalman-gm,eventGODeviation,30,-0.02021572717857226,-0.028671915409646757,-0.011807930051572999,0.6087370571284895,0.4360069482803153,0.733371785005836
7,60.0,kalman-gm,postPairDistanceDeviation,30,-0.006958206610545261,-0.009505765924679773,-0.004787356674301318,0.6003268418783418,0.4811381746175408,0.6999119562621193
7,60.0,kalman-gm,eventGOLoss,30,0.007377245731624902,-0.005203983268384921,0.019931831302787174,-1.912678943557246,-17.312444488284793,0.7310254987661645
7,60.0,kalman-gm,postPairDistanceIncrease,30,-0.007126389533619344,-0.00952873730125382,-0.004939939522046804,0.6150227431892799,0.4925146210254964,0.7189473114041425
