policy,strengthMode,k,trials,successes,successRate,wilsonLower95,wilsonUpper95,meanGO,meanGOPasses,meanGOWilsonLower95,meanGOWilsonUpper95,meanGOPairedDifference,meanLO,meanLOPasses,meanLOWilsonLower95,meanLOWilsonUpper95,meanLOPairedDifference,meanPairDistanceNorm,meanPairDistanceNormPasses,meanPairDistanceNormWilsonLower95,meanPairDistanceNormWilsonUpper95,meanPairDistanceNormPairedDifference,strictJointSuccesses,isotonicSuccessRate
nearest,fixed-total,11,100,91,0.91,0.8377362530335634,0.9519280048361151,0.5492936549009771,86,0.7786263961619276,0.914737342455351,-0.10521988179295132,0.7203627685164845,93,0.8625032899347025,0.965681175635936,-0.06595295609485419,0.1907869149959847,89,0.8136853697209698,0.9374586804477487,0.0339804956446934,78,0.9066666666666667
nearest,fixed-total,12,100,90,0.9,0.8256326956323347,0.9447714583868639,0.5453549473810209,93,0.8625032899347025,0.965681175635936,-0.10915858931290769,0.7166784119523029,97,0.915479219195973,0.9897456617765851,-0.06963731265903585,0.1877374871602968,92,0.8500173312059693,0.9589070305141891,0.03093106780900549,85,0.9066666666666667
nearest,fixed-total,13,100,92,0.92,0.8500173312059693,0.9589070305141891,0.5619264340552779,88,0.8018773199709163,0.9300066263473222,-0.09258710263865061,0.7385616743717563,99,0.9455124752390653,0.9982326134344526,-0.04775405023958237,0.1845449057018088,89,0.8136853697209698,0.9374586804477487,0.02773848635051747,81,0.92
nearest,fixed-total,14,100,93,0.93,0.8625032899347025,0.965681175635936,0.5706974409251115,88,0.8018773199709163,0.9300066263473222,-0.08381609576881695,0.7455580755299226,98,0.9299868370580063,0.9944981477650318,-0.040757649081416096,0.1818248527423227,95,0.8882480347279118,0.9784566385436864,0.02501843339103141,84,0.93
nearest,fixed-total,15,100,93,0.93,0.8625032899347025,0.965681175635936,0.5998750064619135,95,0.8882480347279118,0.9784566385436864,-0.054638530232014995,0.758023686940893,99,0.9455124752390653,0.9982326134344526,-0.02829203767044572,0.18271832048134815,91,0.8377362530335634,0.9519280048361151,0.025911901130056827,88,0.93
nearest,fixed-total,16,100,98,0.98,0.9299868370580063,0.9944981477650318,0.640466197080413,95,0.8882480347279118,0.9784566385436864,-0.01404733961351557,0.786106157499484,99,0.9455124752390653,0.9982326134344526,-0.00020956711185471377,0.15976689374964057,94,0.8752303146877748,0.9722142547333433,0.0029604743983492414,90,0.98
nearest,fixed-total,17,100,99,0.99,0.9455124752390653,0.9982326134344526,0.6555543722070069,95,0.8882480347279118,0.9784566385436864,0.001040835513078398,0.794283638778038,99,0.9455124752390653,0.9982326134344526,0.007967914166699222,0.1534119837806414,98,0.9299868370580063,0.9944981477650318,-0.0033944355706499187,93,0.98
nearest,fixed-total,18,100,99,0.99,0.9455124752390653,0.9982326134344526,0.7152172152088914,100,0.9630051925239981,0.9999999999999999,0.06070367851496287,0.8321310030428245,100,0.9630051925239981,0.9999999999999999,0.04581527843148583,0.13556208220074734,98,0.9299868370580063,0.9944981477650318,-0.021244337150543965,98,0.98
nearest,fixed-total,19,100,96,0.96,0.9016278276739262,0.984336949448152,0.6545135366939285,95,0.8882480347279118,0.9784566385436864,0.0,0.7863157246113387,95,0.8882480347279118,0.9784566385436864,0.0,0.1568064193512913,95,0.8882480347279118,0.9784566385436864,0.0,88,0.98
nearest,original,0,100,0,0.0,0,0.03699480747600191,0.2039686762347308,20,0.1333659225590988,0.28883096192650237,-0.45054486045919767,0.3681768293357537,2,0.005501852234968185,0.07001316294199365,-0.418138895275585,0.38249942222629324,0,0,0.03699480747600191,0.2256930028750019,0,0.0
