seed,policy,strengthMode,k,blockSize,nBlocks,meanGO,meanLO,meanPairDistance,passBlocks,passFraction,durationWeightedPass
52,all,original,19,300,1,0.460652434560539,0.753536757191435,0.0743820604156992,1,1,1
52,all,original,19,300,1,0.483001425568507,0.795015545652171,0.151650655510826,1,1,1
52,all,original,19,300,1,0.620132838910518,0.751363921592999,0.237151705451631,1,1,1
52,all,original,19,300,1,0.645842152740288,0.821064494756867,0.26971050062909,0,1,0
52,all,original,19,300,1,0.514381938393622,0.806213785806141,0.24763602355934,0,1,0
52,all,original,19,300,1,0.390243112555407,0.775008810198288,0.153794051544678,1,1,1
52,all,original,19,300,1,0.261129480576443,0.597427687695516,0.0882158816456848,0,1,0
52,random,fixed-total,7,100,1,0.365221176626469,0.478825617736548,0.226475128830915,0,1,0
52,random,fixed-total,7,100,1,0.35754637867875,0.45342849915108,0.21730256757748,0,1,0
52,random,fixed-total,7,100,1,0.425179922961751,0.522426018148704,0.21802049922265,0,1,0
52,random,fixed-total,7,100,1,0.485528785366319,0.534615047499994,0.216816305061172,1,1,1
52,random,fixed-total,7,100,1,0.473461375926215,0.574041751442181,0.204489751610279,1,1,1
52,random,fixed-total,7,100,1,0.492877677979004,0.536595648877223,0.189606837736498,1,1,1
52,random,fixed-total,7,100,1,0.461682595426721,0.555389621829052,0.183105765896211,1,1,1
52,random,fixed-total,7,100,1,0.477522097952311,0.633221430485216,0.179385702031498,1,1,1
52,random,fixed-total,7,100,1,0.541817054155441,0.714614254442323,0.171834915026343,1,1,1
52,random,fixed-total,7,100,1,0.456872895375146,0.627925321687143,0.154792306279533,1,1,1
52,random,fixed-total,7,100,1,0.407607772442296,0.584368659886456,0.138682086375437,1,1,1
52,random,fixed-total,7,100,1,0.342182004494157,0.648077510570733,0.122027205237068,1,1,1
52,random,fixed-total,7,100,1,0.284883919810624,0.550596473306174,0.108348810031045,0,1,0
52,random,fixed-total,7,100,1,0.367968437278904,0.756803817887817,0.120617666665855,1,1,1
52,random,fixed-total,7,100,1,0.471956081344758,0.824656896512832,0.143934271886409,1,1,1
52,random,fixed-total,7,100,1,0.550137133009936,0.716545083307891,0.161315439134497,1,1,1
52,random,fixed-total,7,100,1,0.556777456571376,0.657333469451246,0.16791474242431,1,1,1
52,random,fixed-total,7,100,1,0.549358849426709,0.645042656673026,0.171035335995673,1,1,1
52,random,fixed-total,7,100,1,0.526254889487901,0.601609627611694,0.172735684048284,1,1,1
52,random,fixed-total,7,100,1,0.514293438823403,0.561391800146831,0.179341658435452,1,1,1
52,random,fixed-total,7,300,1,0.382649159422323,0.484893378345444,0.220599398543682,0,1,0
52,random,fixed-total,7,300,1,0.483955946423846,0.548417482606466,0.203637631469317,1,1,1
52,random,fixed-total,7,300,1,0.493673915844825,0.63440843558553,0.178108794318017,1,1,1
52,random,fixed-total,7,300,1,0.402220890770533,0.620123830714778,0.138500532630679,1,1,1
52,random,fixed-total,7,300,1,0.374936146144762,0.710685729235607,0.12430024952777,1,1,1
52,random,fixed-total,7,300,1,0.552091146336007,0.672973736477388,0.16675517251816,1,1,1
52,random,fixed-total,7,300,1,0.520274164155652,0.581500713879262,0.176038671241868,1,1,1
52,random,fixed-total,15,100,1,0.51913714062301,0.657376205267329,0.208170774154177,1,1,1
52,random,fixed-total,15,100,1,0.452488472208038,0.622485628332626,0.19097177627877,1,1,1
52,random,fixed-total,15,100,1,0.401828938209723,0.490126443986455,0.179896092501732,0,1,0
52,random,fixed-total,15,100,1,0.52368450647074,0.636358267270722,0.180067203520226,1,1,1
52,random,fixed-total,15,100,1,0.674250914468589,0.686206209359246,0.176228681998558,1,1,1
52,random,fixed-total,15,100,1,0.709023350473707,0.725374503977185,0.168524443342653,1,1,1
52,random,fixed-total,15,100,1,0.733920464587747,0.720355703451158,0.159454076356697,1,1,1
52,random,fixed-total,15,100,1,0.784399539764232,0.791893339080959,0.155697997995279,1,1,1
