profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
quick,12,40,400,2,5,nearest,fixed-total,0.551741180235245,0.594307948356665,0.381868193327272,0.165114814067418,0.22,11,5,0.563158984774505,0.405463158360635,0.096250857515966,0.612821520999484,0.635781553582838,1,2.34898526004379
quick,12,40,400,2,5,balanced,original,0.535703325157153,0.61282200813449,0.387933483574759,0.173571231140409,0.1,11,5,0.693643029109619,0.191384159959074,0.0266793693469923,0.629220398742926,0.636783615821522,1,3.32316919373711
quick,12,40,400,2,5,balanced,fixed-total,0.503030425822329,0.534144372559517,0.385372012659779,0.170905942150657,0.22,11,5,0.702745264599679,0.183977469537729,0.0566216252740911,0.615689411081401,0.635958523926058,1,3.16677008225127
quick,12,40,400,2,7,random,original,0.586516094886068,0.661323329925468,0.38428639676169,0.170733170558865,0.14,11,7,0.641042963260297,0.339799364209081,0.0516812098199,0.6211661746204,0.636292489525867,1,7.40609237164993
quick,12,40,400,2,7,random,fixed-total,0.614501518282877,0.669783471833374,0.381886294027353,0.169288241990314,0.22,11,7,0.642387620223419,0.33650032139134,0.0814195088369746,0.610427527936399,0.635637654799305,1,7.40609237164993
quick,12,40,400,2,7,nearest,original,0.595856258113148,0.693481360565974,0.382364514386673,0.165453532096644,0.14,11,7,0.62646012697347,0.343076036269382,0.0558482732853864,0.626535673132989,0.636619907042592,1,4.40455787326449
quick,12,40,400,2,7,nearest,fixed-total,0.680460435655934,0.734663521702881,0.378119239214912,0.164482670961899,0.22,11,7,0.622655489090532,0.356327423460726,0.0908865028372383,0.612816592652807,0.635782896461947,1,4.5855138027897
quick,12,40,400,2,7,balanced,original,0.629237004647921,0.716922047171489,0.386231718390268,0.173355729495047,0.14,11,7,0.730699701229522,0.189035911435828,0.0380531891382597,0.626535624215182,0.636619907042341,1,4.5154440517262
quick,12,40,400,2,7,balanced,fixed-total,0.642752581630649,0.720116454490569,0.382933446313116,0.168024957271467,0.22,11,7,0.734279696343637,0.197830818266124,0.0592878271738359,0.615797342026033,0.635965071946185,1,4.32909988745175
quick,12,40,400,2,10,random,original,0.633360492078547,0.708156840415092,0.380716437280975,0.165803376534349,0.2,11,10,0.721441633100199,0.280752426314265,0.0670826087070402,0.61579680613101,0.635965071937739,1,10.8055972228106
