profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
n20-final,20,100,8000,1,14,balanced,fixed-total,0.488055020128619,0.690448742931186,0.189751112370718,0.0433951722186163,0.227999999999998,19,14,0.629111837872191,0.476650692513905,0.105364830003065,0.617689252137144,1.58936885620814,1,12.3515475218615
n20-final,20,100,8000,1,14,balanced,original,0.735083980127187,0.843656517078512,0.139029779781962,0.0395375381285692,0.168000000000001,19,14,0.615317096932997,0.529293625883658,0.0820340738578336,0.621793795812901,1.59037603117307,1,12.876324286734
n20-final,20,100,8000,1,14,nearest,fixed-total,0.388455195885006,0.683987948251438,0.324125624665306,0.0710128334564844,0.227999999999998,19,14,0.652007191593843,0.389264417311887,0.108526145282856,0.620956451179945,1.59010685439416,1,11.5996682864132
n20-final,20,100,8000,1,14,nearest,original,0.553950825684969,0.706142300939436,0.24863342576582,0.0461571472013073,0.168000000000001,19,14,0.558159282247012,0.601189970795038,0.0962591082224094,0.625648811297767,1.59080931666345,1,8.5172001628386
n20-final,20,100,8000,1,14,random,fixed-total,0.400102610241249,0.730181243775683,0.182777446042282,0.031311648905028,0.227999999999998,19,14,0.555503991238269,0.530439826058293,0.123222433249473,0.621194492634493,1.58994819536025,1,14.664483496882
n20-final,20,100,8000,1,14,random,original,0.421803387664468,0.647103022417273,0.230374238247678,0.052980655087201,0.168000000000001,19,14,0.601916156388094,0.539252846129659,0.083366083178691,0.623882387265019,1.59078847606517,1,14.664483496882
n20-final,20,100,8000,1,15,balanced,fixed-total,0.902743770979196,0.932863782141588,0.0210598633105131,0.0067011810770825,0.227999999999998,19,15,0.595040463749983,0.553599594658862,0.112276186417601,0.6135391924436,1.58851289110058,1,15.011284640673
n20-final,20,100,8000,1,15,balanced,original,0.673978628418981,0.809135045363963,0.201546507729522,0.0637724231840347,0.180000000000002,19,15,0.646957930403354,0.481950425092777,0.0948548364353903,0.624579997558601,1.5907549119183,1,14.089760622188
n20-final,20,100,8000,1,15,nearest,fixed-total,0.892989779895582,0.92925767826501,0.112364677401431,0.0197221165200592,0.227999999999998,19,15,0.534886581527572,0.602844809707876,0.136997203908272,0.625962536619327,1.59056199838793,1,8.79258473153786
n20-final,20,100,8000,1,15,nearest,original,0.243467637444867,0.610957778249091,0.246833694606647,0.0613657575481805,0.180000000000002,19,15,0.578014003028782,0.507800946345957,0.0894768859528836,0.623318559234709,1.59048542480025,1,10.9762908839878
n20-final,20,100,8000,1,15,random,fixed-total,0.412509688892786,0.632386149017657,0.183102223318137,0.0392451086596573,0.227999999999998,19,15,0.57493401063383,0.531130528308559,0.122583584049291,0.619677422513408,1.58985113564541,1,15.7186653588451
n20-final,20,100,8000,1,15,random,original,0.688313892132649,0.808610834188576,0.146216064695446,0.0385395033180837,0.180000000000002,19,15,0.586115025621312,0.570352539255526,0.0946230163589909,0.623329770568623,1.59055151957438,1,15.7186653588451
n20-final,20,100,8000,1,16,balanced,fixed-total,0.406622581628558,0.665217856688397,0.176799597197066,0.03196899625904,0.227999999999998,19,16,0.579775677487412,0.542533489488722,0.123346842512946,0.621140910315986,1.5900032533363,1,13.7575477328948
n20-final,20,100,8000,1,16,balanced,original,0.576618180963531,0.639690112648518,0.198970932701074,0.0490399687483283,0.191999999999998,19,16,0.660705276796938,0.482738026182464,0.0905820894366493,0.621165314280138,1.59016174283598,1,15.5666604769866
n20-final,20,100,8000,1,16,nearest,fixed-total,0.436690486612424,0.672278536509269,0.201698597611069,0.0572325117273433,0.227999999999998,19,16,0.576043267224247,0.604588005761217,0.126057674586217,0.619756764204928,1.58983692010029,1,9.95117341679189
n20-final,20,100,8000,1,16,nearest,original,0.521271088802736,0.666479471469028,0.27557995383093,0.04413237737727,0.191999999999998,19,16,0.615851887944619,0.441637605009583,0.0981101720128923,0.624076850226932,1.59058480579651,1,13.6580938497913
n20-final,20,100,8000,1,16,random,fixed-total,0.493851596080176,0.674151242599602,0.242036175571482,0.0512706953193819,0.227999999999998,19,16,0.660143145718116,0.509124476450869,0.114558859732507,0.618510963002985,1.58978006577169,1,16.7821815081348
n20-final,20,100,8000,1,16,random,original,0.849647265868994,0.87277388223165,0.111115418004241,0.0274192653549059,0.191999999999998,19,16,0.587077114541953,0.581887175093072,0.10965957210315,0.617331179935276,1.58922282839178,1,16.7821815081348
n20-final,20,100,8000,1,17,balanced,fixed-total,0.630478526390425,0.773270348759777,0.129234095955461,0.0318930572049904,0.227999999999998,19,17,0.604305679223915,0.549690744061305,0.124167145944034,0.618883529087806,1.58947261496311,1,16.9907115074218
n20-final,20,100,8000,1,17,balanced,original,0.301550907892875,0.781811659362992,0.244878023252917,0.0513865837919744,0.203999999999998,19,17,0.642340666442765,0.457246601072192,0.0947566830415286,0.618577720114417,1.58979919341703,1,16.3290508735697
n20-final,20,100,8000,1,17,nearest,fixed-total,0.588699169125869,0.704914125873335,0.15576355767573,0.0366247108474501,0.227999999999998,19,17,0.58879137048635,0.595776257864774,0.130231240011585,0.619050515941983,1.5894996020292,1,13.3439477921518
n20-final,20,100,8000,1,17,nearest,original,0.975485216673527,0.984919927622617,0.115742309700966,0.0317598914166994,0.203999999999998,19,17,0.590199486510976,0.601551649155607,0.12325246969734,0.615910423781016,1.58855943919628,1,8.86046590128285
n20-final,20,100,8000,1,17,random,fixed-total,0.645475901530473,0.752244038097279,0.161170891660726,0.0450708576952535,0.227999999999998,19,17,0.639573203910289,0.559118571399427,0.123793359339198,0.620055146531599,1.58990569426867,1,17.8502136854078
n20-final,20,100,8000,1,17,random,original,0.994628719884495,0.995682734337152,0.0754334212876552,0.0278897933306063,0.203999999999998,19,17,0.606482686883657,0.576068151363192,0.116900587563557,0.610771135602934,1.58754962124533,1,17.8502136854078
n20-final,20,100,8000,1,18,balanced,fixed-total,0.313600322317365,0.595376050471376,0.202659625791452,0.0342300880078029,0.227999999999998,19,18,0.581091563766612,0.486651154291436,0.114130854658588,0.619889379400995,1.58973082053818,1,17.8891356876498
n20-final,20,100,8000,1,18,balanced,original,0.662257110707148,0.751707500200228,0.232611385119222,0.0475328328946364,0.215999999999998,19,18,0.596741071931995,0.460208817216163,0.115278278303496,0.620694089273413,1.589892883198,1,17.6881796338779
n20-final,20,100,8000,1,18,nearest,fixed-total,0.887805059923222,0.96290882262903,0.0882689204809542,0.0357761613156113,0.227999999999998,19,18,0.599237811017408,0.583062225965185,0.137771065406552,0.606672049137557,1.58610597455533,1,14.1062018451218
n20-final,20,100,8000,1,18,nearest,original,0.677537255975651,0.790936353296081,0.160915462897988,0.0468616660554162,0.215999999999998,19,18,0.635115989415336,0.574119232587997,0.119778467145324,0.620844149415858,1.58997610692233,1,14.9974788501591
n20-final,20,100,8000,1,18,random,fixed-total,0.960105706863171,0.963235635236794,0.0937196640838901,0.00172748467273396,0.227999999999998,19,18,0.576263301982148,0.587925491711742,0.125306711667445,0.610311433134075,1.58740086220725,1,18.9099402598878
n20-final,20,100,8000,1,18,random,original,0.453454347643492,0.662558055366294,0.148571113502074,0.0469013756726025,0.215999999999998,19,18,0.620209198764,0.571193264240073,0.113273513141333,0.621756780501035,1.59020541173761,1,18.9099402598878
