profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
pilot,20,60,2000,2,10,balanced,fixed-total,0.0918362628003708,0.375879471813816,0.0966691865414139,0.228000000000001,10,0.77968667277854,0.18883801186855,0.0590373727287636,0.614597852138906,0.953888713458386,1,7.75728530213485
pilot,20,60,2000,2,15,random,original,0.095720555773855,0.344494972858057,0.0988962287525366,0.18,15,0.724986014070912,0.376482629385332,0.0673619488904369,0.616176310886017,0.95406859998262,1,15.6840304148781
pilot,20,60,2000,2,15,random,fixed-total,0.455061588586875,0.31041640000861,0.0993904913663607,0.228000000000001,15,0.719800935588845,0.4418042403694,0.095998868111517,0.615815796647702,0.953995782843728,1,15.6840304148781
pilot,20,60,2000,2,15,nearest,original,0.252793811057404,0.342081002067228,0.103602321382622,0.18,15,0.704966980763362,0.417289166906271,0.0721192592674219,0.615761372957001,0.953959157311617,1,10.435407885628
pilot,20,60,2000,2,15,nearest,fixed-total,0.351515135178243,0.337105702881841,0.102148799367801,0.228000000000001,15,0.700090935705576,0.454457066691157,0.0978248771106551,0.615443319090544,0.953789172814208,1,9.94056804856735
pilot,20,60,2000,2,15,balanced,original,0.105931564693678,0.371336829156519,0.103786533538934,0.18,15,0.804850484720204,0.208161025387041,0.0518742817805549,0.615509060565793,0.954054483212277,1,13.8060594202566
pilot,20,60,2000,2,15,balanced,fixed-total,0.284400858040702,0.335293946012509,0.0962755706134298,0.228000000000001,15,0.770355291581979,0.328334970712324,0.0767614469141266,0.613628122384193,0.95368719850624,1,13.2241308595049
pilot,20,60,2000,3,19,all,original,0.19855512449946,0.366374988911996,0.0956437390280488,0.228000000000001,19,0.750459823241481,0.269648697561617,0.0789576594083928,0.612010554546991,0.953394121119812,1,20
pilot,20,60,2000,3,0,random,original,0.144181677785727,0.38097338850363,0.116182523851502,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,3,0,random,fixed-total,0.144181677785727,0.38097338850363,0.116182523851502,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,3,0,nearest,original,0.144181677785727,0.38097338850363,0.116182523851502,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,3,0,nearest,fixed-total,0.144181677785727,0.38097338850363,0.116182523851502,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,3,0,balanced,original,0.144181677785727,0.38097338850363,0.116182523851502,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,3,0,balanced,fixed-total,0.144181677785727,0.38097338850363,0.116182523851502,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,3,1,random,original,0.157147809281987,0.380879035298179,0.115808209450628,0.012,1,0,1,0.0119665040040356,0.636910753643249,0.955366130464872,1,0.994297073348558
pilot,20,60,2000,3,1,random,fixed-total,0.077831576771943,0.29766512993463,0.0700195175276514,0.228000000000001,1,0,1,0.227359746264077,0.612371058852009,0.952961023106717,1,0.994297073348558
pilot,20,60,2000,3,1,nearest,original,0.13704828924519,0.377910704173149,0.121964575192535,0.012,1,0,1,0.01196349876045,0.636910753643249,0.955366130464872,1,0.0544678604983683
pilot,20,60,2000,3,1,nearest,fixed-total,0.17433254323695,0.340253664307373,0.0137675826111554,0.228000000000001,1,0,1,0.227345223260674,0.591956027426699,0.947602106683214,0.35,-1.37362232023438e-16
pilot,20,60,2000,3,1,balanced,original,0.13704828924519,0.377910704173149,0.121964575192535,0.012,1,0,1,0.01196349876045,0.636910753643249,0.955366130464872,1,0.0544678604983683
pilot,20,60,2000,3,1,balanced,fixed-total,0.17433254323695,0.340253664307373,0.0137675826111554,0.228000000000001,1,0,1,0.227345223260674,0.591956027426699,0.947602106683214,0.35,-1.37362232023438e-16
pilot,20,60,2000,3,2,random,original,0.134262955809066,0.382518962050541,0.106020488283164,0.024,2,0.251534961782654,0.632687341750743,0.0142746573870684,0.636910753643249,0.955366130464872,1,2.02637977073309
pilot,20,60,2000,3,2,random,fixed-total,0.0854663535969222,0.336374791528533,0.0918159441768005,0.228000000000001,2,0.225073910169451,0.682120702074757,0.143104428212898,0.613269940649904,0.95349190856036,1,2.02637977073309
pilot,20,60,2000,3,2,nearest,original,0.145495147243129,0.376191926298884,0.108991077495164,0.024,2,0.226922078139787,0.696100104553482,0.0143263745187335,0.636910753643249,0.955366130464872,1,0.28357068456747
pilot,20,60,2000,3,2,nearest,fixed-total,0.244777086771225,0.373665647273843,0.0482876003314585,0.228000000000001,2,0.162006097447292,0.769980691528155,0.170213394244811,0.613996483175912,0.952140319332932,1,0.0220395280317517
pilot,20,60,2000,3,2,balanced,original,0.153470805630474,0.377571736754925,0.116951855035319,0.024,2,0.468023780610647,0.0996389066895094,0.0119816763751391,0.636910753643249,0.955366130464872,1,0.891547208142628
pilot,20,60,2000,3,2,balanced,fixed-total,0.0556817338195167,0.374634690184345,0.104343873092704,0.228000000000001,2,0.471812706529934,0.0880901397665099,0.113818300386392,0.601316261495154,0.949617464505862,1,0.900664653096014
pilot,20,60,2000,3,3,random,original,0.154941117896424,0.380405505859538,0.117707812212037,0.0359999999999998,3,0.390355165499234,0.521931526613831,0.0181827761707112,0.636910753643249,0.955366130464872,1,3.06900230608539
pilot,20,60,2000,3,3,random,fixed-total,0.0836475535405758,0.354963772855667,0.0996961625854679,0.228000000000001,3,0.363779164284061,0.564191878119785,0.120667780916631,0.613172062343571,0.953587201533785,1,3.06900230608539
pilot,20,60,2000,3,3,nearest,original,0.153228564801543,0.376755858417447,0.111611451282414,0.0359999999999998,3,0.378445431256193,0.547358544077591,0.017788003268705,0.636898046457086,0.955365322078264,1,0.504168809139435
pilot,20,60,2000,3,3,nearest,fixed-total,0.368853825442592,0.332125389816268,0.0195384093625318,0.228000000000001,3,0.271561255044925,0.700708416468186,0.143416946958981,0.61240314482817,0.952813915020675,0.35,-1.5631611731993e-16
