seed,focal,startIndex,q,tau,T,predictionSquaredError,holdSquaredError,variance,covered,intervalCoversCircle,periodicJump,historyNIS,estimatedStartRate
138,1,6801,1e-05,30,120,0.018871529776938,0.072555128523739,0.699778654903017,1,0,0,0.669796107964539,-0.00435381953456723
138,1,6801,1e-05,60,3,1.6245362472589e-05,0.000167939188539391,0.000340812272201166,1,0,0,0.670177582169987,-0.00448066618230508
138,1,6801,1e-05,60,10.2,5.4418787665507e-05,0.00148459526332742,0.00488614412445337,1,0,0,0.670177582169987,-0.00448066618230508
138,1,6801,1e-05,60,30,1.91595094611273e-05,0.0130041300525606,0.0729187616346205,1,0,0,0.670177582169987,-0.00448066618230508
138,1,6801,1e-05,60,60,0.000967313957105744,0.0419918591868901,0.388225980766369,1,0,0,0.670177582169987,-0.00448066618230508
138,1,6801,1e-05,60,120,0.0010907130976929,0.072555128523739,1.69135298761072,1,0,0,0.670177582169987,-0.00448066618230508
138,1,6801,1e-05,Inf,3,2.3673448972425e-05,0.000167939188539391,0.000360744501894744,1,0,0,0.670946775981711,-0.00461102055156658
138,1,6801,1e-05,Inf,10.2,0.000156089397279677,0.00148459526332742,0.00565439194125084,1,0,0,0.670946775981711,-0.00461102055156658
138,1,6801,1e-05,Inf,30,0.000800130299052294,0.0130041300525606,0.106385580872012,1,0,0,0.670946775981711,-0.00461102055156658
138,1,6801,1e-05,Inf,60,0.0057355919264491,0.0419918591868901,0.783690602929401,1,0,0,0.670946775981711,-0.00461102055156658
138,1,6801,1e-05,Inf,120,0.0829172093660637,0.072555128523739,6.0111416417162,1,1,0,0.670946775981711,-0.00461102055156658
138,1,6801,0.0001,1,3,6.89224524545684e-05,0.000167939188539391,0.000258165927475207,1,0,0,0.701862313126075,-0.00206232342009174
138,1,6801,0.0001,1,10.2,0.00114045781133524,0.00148459526332742,0.000974004033402838,1,0,0,0.701862313126075,-0.00206232342009174
138,1,6801,0.0001,1,30,0.0119411993550973,0.0130041300525606,0.0029540009076332,0,0,0,0.701862313126075,-0.00206232342009174
138,1,6801,0.0001,1,60,0.0400637434448613,0.0419918591868901,0.00595400090763322,0,0,0,0.701862313126075,-0.00206232342009174
138,1,6801,0.0001,1,120,0.0700135486294131,0.072555128523739,0.0119540009076333,0,0,0,0.701862313126075,-0.00206232342009174
138,1,6801,0.0001,3,3,1.75042616849894e-06,0.000167939188539391,0.00085155977240642,1,0,0,0.638556280416505,-0.00380675259404378
138,1,6801,0.0001,3,10.2,0.000532418733919021,0.00148459526332742,0.00609455609216846,1,0,0,0.638556280416505,-0.00380675259404378
138,1,6801,0.0001,3,30,0.00964300321553132,0.0130041300525606,0.0237822631106611,1,0,0,0.638556280416505,-0.00380675259404378
138,1,6801,0.0001,3,60,0.0357519180795325,0.0419918591868901,0.0507820817885055,1,0,0,0.638556280416505,-0.00380675259404378
