seed,focal,startIndex,q,T,kalmanSquaredError,holdSquaredError,variance,covered
101,14,41,1e-06,120,0.994963548814659,0.240259022593538,0.70847130360818,1
101,14,61,1e-06,30,2.49140690718702,0.373453988216944,0.0175581569974071,0
101,14,61,1e-06,60,5.97952546154057,0.285329007342051,0.105439709753164,0
101,14,61,1e-06,120,0.950127347191941,8.1485149161821,0.70847130360818,1
101,14,41,0.0001,30,0.00929867774787796,0.0512036597962229,1.68021537013102,1
101,14,41,0.0001,60,0.00300061729559113,0.0419977217326133,10.3200544534141,1
101,14,41,0.0001,120,1.01927413490769,0.240259022593538,70.0789037415827,1
101,14,61,0.0001,30,2.40921512141074,0.373453988216944,1.68021537013102,1
101,14,61,0.0001,60,6.20443427117244,0.285329007342051,10.3200544534141,1
101,14,61,0.0001,120,1.12132410453218,8.1485149161821,70.0789037415827,1
